題號|題目|選項1|選項2|選項3|選項4|正確答案
350|關於「藍色金融」(Blue Finance),其資金用途主要聚焦於?|海洋生態保護與永續水資源|高空通訊衛星|地下採礦技術|沙漠防沙工程|1
351|企業編製永續報告書時,若只揭露正面資訊而隱藏負面資訊,違反了 GRI 的哪項原則?|平衡性(Balance)|及時性|清晰性|獲利性|1
352|下列何者屬於「物理風險」中的「慢性風險」?|氣候變遷導致的長期降雨模式改變|單次的強烈寒害|突發的森林大火|局部性的龍捲風|1
353|什麼是「範疇一」排放?|公司擁有的固定或移動源直接燃燒產生的排放|公司購買電力產生的排放|客戶開車來公司的排放|銀行投融資對象的排放|1
354|關於「永續連結貸款」(SLL)的利率調整機制,通常是?|達成目標則利率下降(Step-down)|達成目標則利率上升|不論有無達成利率均不變|達成目標則免除所有利息|1
355|下列何者屬於「責任投資原則」(PRI)的簽署者?|資產所有者(如壽險公司、退休基金)|一般的散戶投資人|所有的零售百貨商|政府的警政單位|1
356|何謂「負碳技術」(Negative Emission Technologies)?|能從大氣中移除並永久封存二氧化碳的技術|減少排碳量的技術|讓電表變慢的技術|不排碳的技術|1
357|關於我國「氣候變遷因應法」之碳費徵收,是由哪個單位統籌執行?|環境部|金管會|經濟部|財政部|1
358|下列哪一項不屬於 ESG 投資中的「參與及議合」行為?|在股東會提出 ESG 相關議案並與管理層溝通|單純在二級市場買賣股票而不發言|行使股東投票權支持永續董事候選人|與公司共同制定減碳計畫|1
359|什麼是「碳邊境調整機制」(CBAM)主要防止的對象?|碳洩漏|水污染|人口流失|財政赤字|1
360|關於 TCFD 的「治理」要素,建議揭露內容為何?|董事會對氣候相關風險與機會的監督情形|總經理的個人薪資|員工的平均加班時數|公司的產品市佔率|1
361|下列何者屬於「轉型風險」中的法律風險?|因未能揭露氣候風險而面臨的投資人訴訟|淹水導致工廠設備生鏽|低碳技術成本過高|消費者改買競爭對手的環保產品|1
362|什麼是「重大性」(Materiality)在永續揭露中的核心概念?|對公司財務及對利害關係人決策產生重要影響的議題|公司規模的大小|投資金額的多寡|媒體報導的次數|1
363|關於「ISSB」準則與「GRI」準則的關係,下列敘述何者正確?|兩者通常是互補關係,可同時採用以滿足不同需求|ISSB 已經完全取代了 GRI|GRI 僅適用於非營利組織|兩者只能擇一使用|1
364|何謂「內部碳定價」的「隱含價格」(Implicit Price)?|基於企業達成特定減碳目標所投入的成本計算出的碳價|政府公告的碳稅價格|碳交易市場的當日收盤價|員工隨機猜測的碳成本|1
365|下列何者屬於 ESG 中的「S」(社會)面向議題?|社區關係與人權維護|董事會獨立董事比例|用水管理與回收率|反貪腐政策|1
366|關於「責任銀行原則」(PRB),銀行應對其投融資組合進行什麼分析?|對社會與環境產生的正負面衝擊(Impact)|對公司淨利的影響|對董事長名聲的影響|對政府稅收的影響|1
367|什麼是「公正轉型」(Just Transition)?|在推動能源與經濟轉型過程中,兼顧社會公平與弱勢保障|轉型過程必須追求最快速度而不計代價|轉型成本應由受害者自負|僅轉向核能發電即為公正|1
368|下列哪一種債券的資金必須專用於「綠色」計畫,且受法律限制用途?|綠色債券|永續連結債券|高收益債券|零息債券|1
369|關於 TCFD 的「策略」要素,組織應評估氣候風險對其什麼的衝擊?|業務、策略及財務規劃|員工福利|辦公室租金|廣告預算|1
370|何謂「循環經濟」中的「維修與翻新」(Refurbish)?|延長產品使用壽命以減少資源消耗與廢棄物|直接將舊產品拆解回收|把東西丟掉買新的|減少產品的保固期|1
371|關於「科學基礎減碳目標」(SBTi),其要求企業必須涵蓋哪些範疇的排放?|範疇一、二(若範疇三占比較大則亦需涵蓋)|僅範疇一|僅範疇三|不需要看範疇|1
372|下列何者屬於 ESG 投資策略中的「負面篩選」(Negative Screening)?|將爭議性武器或菸草行業排除在投資名單外|挑選 ESG 表現最好的前 10 名|只投資於太陽能產業|隨機投資|1
373|什麼是「情境分析」(Scenario Analysis)?|評估組織在不同假設未來情境下的韌性與應變能力|分析過去十年的財務報表|預測下個月的股價走勢|評估員工的滿意度分數|1
374|關於「自然相關財務揭露」(TNFD),其 LEAP 架構中的 L 代表?|定位(Locate)與自然的互動|法律(Legal)遵循|學習(Learn)永續知識|績效(Leverage)提升|1
375|下列哪一項是企業發布永續報告書的主要目的之一?|與利害關係人溝通其 ESG 績效與目標|純粹為了增加印刷業的產值|為了在網路上炫耀|為了躲避勞檢|1
376|什麼是「範疇三」排放?|公司價值鏈產生的所有間接排放(不含能源間接排放)|公司直接排出的煙|購買電力產生的排放|公司老闆開車的排煙|1
377|關於「碳邊境調整機制」(CBAM)之申報,進口商需申報什麼數據?|進口產品在生產過程中的隱含碳排放量|進口產品的售價|進口產品的重量|進口產品的顏色|1
378|下列何者屬於 ESG 中的「G」(治理)面向指標?|商業誠信、董事會多元性與資訊安全|植樹造林的數量|員工受傷率|低碳產品銷售額|1
379|關於「永續連結債券」(SLB)的發行,發行人必須設定什麼指標?|關鍵績效指標(KPI)與永續績效目標(SPT)|最高獲利目標|最低成本目標|員工人數目標|1
380|何謂「雙重重大性」中的「財務重大性」?|環境與社會議題對公司財務表現產生的風險或機會|公司捐了多少錢|公司逃了多少稅|公司賺了多少錢|1
381|關於「責任投資原則」(PRI),其第一條原則為何?|將 ESG 議題納入投資分析及決策過程|每年捐款給環保組織|禁止投資石油公司|僱用 ESG 專業人員|1
382|下列哪一項不是「社會責任債券」的目標項目?|開發高耗能奢侈品|基礎設施建設|創造就業機會|負擔得起的住房|1
383|關於「內部碳定價」的推動,企業通常用來作為?|內部資源配置與低碳投資的評估工具|向政府要錢的憑證|開除高排碳員工的理由|減少員工福利的藉口|1
384|什麼是「範疇二」排放?|能源間接排放(如外購電力、蒸汽等)|直接燃燒排放|供應鏈排放|廢棄物排放|1
385|關於「氣候風險」中的「實體風險」,其主要來源不包括?|碳費價格調漲|洪水與颱風|海平面上升|長期熱浪|1
386|下列何者屬於「氣候變遷減緩」的行動?|更換節能設備以減少電力消耗|在海邊蓋防波堤|投保巨災險|開發耐高溫蔬菜|1
387|關於「ISSB」發布之 IFRS S1,其全名為何?|永續相關財務資訊揭露一般要求|氣候相關揭露|水資源揭露|生物多樣性揭露|1
388|什麼是「重大性」(Materiality)在 GRI 2021 版的定義?|反映組織對經濟、環境及社會產生顯著影響的議題|會讓股價波動 10% 的議題|老闆最關心的議題|報紙最常報導的議題|1
389|下列何者屬於 ESG 中的「G」(治理)面向指標?|風險管理、董事會獨立性與稅務策略|辦公室綠化面積|員工平均步數|捐贈給弱勢團體的金額|1
390|關於「內部碳定價」中的「影子價格」,下列敘述何者正確?|是一種虛擬價格,用於內部評估專案的氣候成本|是政府實際收取的錢|是黑市買賣的價格|是產品的促銷價格|1
391|什麼是「ESG 整合」(ESG Integration)?|在投資決策中系統化納入非財務的 ESG 因素與傳統財務因素|將三個部門合併|只看環境不看社會|只看獲利不看風險|1
392|關於「永續發展基礎能力測驗」,其題庫來源主要包含?|113 及 114 年度各次歷屆試題|大學教授的個人論文|報紙的社論|政府的新聞稿|1
393|下列何者屬於「永續經濟活動」認定指引中的「環境目的」?|氣候變遷減緩、調適、水資源、循環經濟、污染防治、生物多樣性|賺取最高獲利|減少員工加班|增加廣告預算|1
394|何謂「碳權」(Carbon Credit)?|經過認證可供交易的減碳額度|可以在網路上留言的權利|向政府借錢的憑證|買賣股票的權利|1
395|關於「ISSB」準則的特色,下列何者正確?|建立全球統一的永續揭露基準(Global Baseline)|僅適用於歐盟企業|只關注環境議題|強制要求企業捐款|1
396|什麼是「碳足跡」(Carbon Footprint)?|產品或活動生命週期中的溫室氣體排放總量|工廠在地板留下的印記|員工走路留下的痕跡|影印紙上的黑色碳粉量|1
397|下列哪一項是企業推動「循環經濟」的主要動力?|降低資源成本、風險並開發新商業機會|為了增加垃圾產量|為了讓政府多罰款|純粹為了做公益而不計虧損|1
398|關於「自然相關財務揭露」(TNFD),其核心精神為何?|引導資金流向「自然正面」的活動並管理自然風險|禁止開發自然資源|要求所有企業在森林辦公|強制企業買單所有的自然災害|1
399|何謂「淨零路徑」?|達成 2050 年淨零排放的具體策略與時程規劃|回家的路|工廠的通風路徑|排煙管的佈局|1
400|關於「永續發展基礎能力測驗」的合格標準為何?|通常為總分 70 分(或答對一定比例題數)|100 分才能合格|0 分也會合格|由考生自己決定|1
401|關於「永續發展基礎能力測驗」中,若題目答案更正為「2 或 4」,代表?|選項 2 與 4 均視為正確答案|該題作廢不計分|一律給分|必須兩個都選才給分|1
402|下列何者屬於金融機構在 TCFD 框架下「指標與目標」的揭露重點?|投融資組合的隱含碳排放量|分行櫃檯的平均服務時間|ATM 的用電量比率|員工使用信用卡的比率|1
403|根據「赤道原則」,專案融資案件被歸類為「B 類」代表其環境社會影響為何?|具潛在有限之不利影響,通常可透過緩釋措施改善|具潛在極大且不可逆之不利影響|幾乎無不利影響|僅限於財務風險極高者|1
404|關於「科學基礎減碳目標」(SBTi)對金融業的特殊要求,主要聚焦於?|其投融資組合(Portfolio)的減碳目標|總部大樓的省電效益|紙張使用量減半|取消所有的實體分行|1
405|什麼是「範疇三」中「融資排放」(Financed Emissions)?|銀行貸款給企業,該企業營運產生的碳排應算入銀行的範疇三|銀行員工購車貸款的排煙|銀行購買辦公家具的排碳|銀行股東開車的排碳|1
406|下列哪一項是「責任投資原則」(PRI)建議投資人與公司議合的方式?|定期與公司管理層或董事會面談|直接在網路上發布負面評論|收購公司 100% 股權後強行改組|拒絕參加任何股東會議|1
407|關於「雙重重大性」(Double Materiality),ISSB 準則目前主要聚焦於?|財務重大性(外界對公司的影響)|影響重大性(公司對外界的影響)|法律重大性|不考慮重大性|1
408|何謂「巴塞爾協議 III」中討論氣候風險的範疇?|將氣候風險納入第一柱(最低資本要求)與第二柱(監理審查)|禁止銀行對化石燃料貸款|要求銀行董事長具備氣候專家資格|僅限於揭露氣候風險數據|1
409|下列何者屬於 ESG 投資中的「規範篩選」(Norms-based Screening)?|依據是否符合國際公約(如 UN 全球盟約)進行篩選|依據公司獲利能力篩選|依據公司名字是否好聽篩選|隨機抽樣篩選|1
410|關於「碳會計金融夥伴關係」(PCAF),其提供的標準主要協助金融業計算?|投融資活動產生的溫室氣體排放量|員工的碳足跡|銀行的碳費繳納金額|碳交易市場的波動率|1
411|什麼是「永續經濟活動認定指引」中的「不造成其他環境目的之重大損害」(DNSH)?|推動某一環境目的時,不能對其他五項目的造成損害|只要會賺錢,損害其他目的也沒關係|不需考慮對環境的損害|僅限於不損害生物多樣性|1
412|關於「內部碳定價」中的「內部碳稅」,其收取的資金通常如何處理?|專款專用於公司內部的減碳專案或綠色創新|發給表現優異的員工當獎金|交給政府作為碳費|存入銀行的定期存款|1
413|下列哪一項是 TCFD 建議企業揭露「風險管理」流程的核心內容?|如何識別、評估及管理氣候風險之流程|董事會每年開幾次會|法律顧問的收費明細|投保火險的總額|1
414|何謂「淨零」(Net Zero)與「碳中和」(Carbon Neutral)在氣候目標上的關聯?|淨零是比碳中和更嚴格且更深度的減碳要求|碳中和包含所有溫室氣體,淨零僅包含二氧化碳|兩者完全獨立無關|碳中和必須在 2030 年達成|1
415|關於「ISSB」發布之 IFRS S2,其要求揭露的四大核心要素為何?|治理、策略、風險管理、指標與目標|環境、社會、治理、經濟|盤查、確信、申報、分析|計畫、執行、檢核、行動|1
416|什麼是「自然相關財務揭露」(TNFD)中的「相依性評估」?|評估組織對大自然提供之服務(如淡水、授粉)的依賴程度|評估組織對政府補助的依賴|評估子公司對母公司的依賴|評估員工對薪資的依賴|1
417|下列何者屬於「轉型風險」中的「名譽風險」?|利害關係人對組織在氣候行動上的負面觀感或不信任|極端天氣導致分行停電|政府徵收碳費導致成本增加|低碳技術成本過高|1
418|關於「公正轉型」(Just Transition),其核心理念「不遺留任何人」是指?|關注勞工、弱勢族群及受影響社區在轉型中的權益|所有人都必須在同一天減碳|政府必須發錢給所有人|所有企業都不能倒閉|1
419|什麼是「綠色金融行動方案 3.0」中提到的「布局」(Deployment)?|引導資金投向永續發展之經濟活動|在全國各地增設 ATM|招募更多 ESG 員工|增加金融業的廣告預算|1
420|關於「氣候變遷因應法」中的「自願減量專案」,其目的是?|取得可供抵換或交易的「碳權」|讓企業自願多繳稅|讓企業自願捐款給環保署|不需任何審核即可減碳|1
421|下列何者為「責任投資原則」(PRI)對簽署者的要求?|定期提交執行情形報告並接受評分|必須將所有資金投入綠能產業|必須將 ESG 績效與經理人薪資掛鉤|禁止投資任何國營企業|1
422|關於「TCFD」情境分析中常用的「2°C 情境」,主要是參考哪一個組織的數據?|IEA (國際能源署) 或 IPCC|WTO|WHO|國際貨幣基金組織|1
423|什麼是「ESG 評級」(ESG Ratings)?|由第三方機構評估企業在環境、社會與治理面向的表現|企業對員工表現的評分|政府對企業誠信的評分|學生對永續課程的評分|1
424|下列哪一項屬於「物理風險」中的「慢性風險」?|海平面上升導致沿海土地長期流失|強烈颱風導致廠房毀損|局部暴雨導致積水|一次性雷擊導致電路故障|1
425|關於「重大性分析」,企業通常會繪製什麼來呈現結果?|重大性矩陣圖(Materiality Matrix)|股價走勢圖|組織架構圖|圓餅圖|1
426|何謂「範疇二」排放的「市場基準法」(Market-based method)?|依據企業選擇購買之電力來源(如綠電憑證)計算排放量|依據全國平均電力排放係數計算|依據鄰居的用電量計算|依據公司的營收計算|1
427|關於「永續連結貸款」(SLL),若借款人表現優於預設指標,通常會?|利率調降|利率調升|銀行免除本金償還|銀行沒收擔保品|1
428|下列哪一項是企業推動「循環經濟」時「Reduce」的具體作法?|透過設計簡化,減少產品生產所需的原料用量|增加產品的包裝厚度|將產品直接焚化處理|鼓勵消費者多買備品|1
429|什麼是「內部碳定價」中的「內部碳費」收費基礎?|各部門實際產生的溫室氣體排放量|各部門的人員總數|各部門的辦公室面積|各部門的聚餐次數|1
430|關於「科學基礎減碳目標」(SBTi),其認證目標通常要求涵蓋範疇三的前提為何?|若範疇三排放佔總排放量 40% 以上|只要有範疇三就要涵蓋|只有大型企業才需涵蓋|不論比例一律不需涵蓋|1
431|下列何者屬於 ESG 中的「S」(社會)面向議題?|職業安全衛生與人才培訓|董事會成員的專業背景|水資源回收率|溫室氣體排放強度|1
432|關於「責任投資原則」(PRI)的簽署類別,「資產所有者」包含?|保險公司與退休基金|會計師事務所|證券交易所|一般散戶投資人|1
433|什麼是「碳中和」與「淨零」在抵換方式上的主要區別?|淨零強調僅抵換難以減量的殘餘排放|碳中和不允許使用森林碳權|淨零可以完全依賴買碳權達成|兩者要求完全一致|1
434|根據「上市上櫃公司永續發展行動方案」,企業應何時開始揭露氣候相關風險與機會?|2023 年起分階段適用 TCFD 揭露建議|2030 年|2025 年|2027 年|1
435|下列何者屬於「轉型風險」中的「政策與法律風險」?|政府徵收碳費或強化減碳法規限制|消費者口味改變|氣候變遷導致降雨減少|低碳技術成本下降|1
436|什麼是「負碳」(Negative Emissions)?|從大氣中移除的二氧化碳量大於排放量|完全不排碳|排碳量逐年遞減|政府對排碳企業的罰款|1
437|關於「自然相關財務揭露」(TNFD)的「衝擊評估」,是指?|評估組織營運對自然環境產生的正負面影響|評估自然環境對組織獲利的衝擊|評估氣候對組織的衝擊|評估法律對組織的衝擊|1
438|下列哪一種國際準則提供了不同「產業別」的特定財務重大性指標?|SASB|GRI|TCFD|ISO 14064|1
439|何謂「綠色溢價」(Green Premium)?|選用低碳替代方案所多付出的成本額外負擔|買綠色股票賺到的錢|政府給企業的環保補助款|綠色產品在市場上的折價券|1
440|關於「藍色金融」,其主要資助的對象不包括?|深海石油開採|海洋保育專案|永續水產養殖|廢水處理設施|1
441|企業編製永續報告書時,若採用 GRI 準則,應如何決定揭露的優先順序?|進行重大性分析(Materiality Assessment)|由董事長個人決定|參考競爭對手的目錄圖案|看哪個議題的資料比較好找|1
442|下列何者屬於「物理風險」中的「急性風險」?|強烈熱帶氣旋(颱風)引發的風災與淹水|全球平均溫度逐年上升|長期乾旱導致地下水枯竭|海平面逐年緩慢上升|1
443|什麼是「範疇一」排放?|公司自有或掌控的設施直接產生的溫室氣體排放|外購電力產生的間接排放|員工搭高鐵出差的排放|供應商送原料來的車煙|1
444|關於「永續連結債券」(SLB)的特色,下列何者正確?|募集資金不限用途,但債券條款與 ESG 績效掛鉤|資金必須專款專用於綠電投資|不需對外報告執行績效|僅限於政府發行|1
445|下列何者屬於「責任投資原則」(PRI)的第一條原則?|將 ESG 議題納入投資分析及決策過程|每年捐款給慈善機構|禁止投資任何化石燃料產業|僱用 ESG 專業人員|1
446|何謂「碳權」(Carbon Credit)?|代表一公噸二氧化碳當量的減碳額度|可以在網路上留言的權利|向政府借錢的憑證|買賣股票的權利|1
447|關於「氣候變遷因應法」之碳費徵收,首波徵收對象主要為何?|年排放量達 2.5 萬公噸以上之大戶|全體中小企業|所有進口商品商|全體國民|1
448|下列哪一項不屬於 ESG 投資中的「參與及議合」行為?|在股東會提出 ESG 相關議案與管理層溝通|單純在二級市場買賣股票而不與公司接觸|行使股東投票權支持符合永續目標的提案|參與受投資公司的永續委員會諮詢|1
449|什麼是「碳邊境調整機制」(CBAM)主要防止的現象?|碳洩漏(Carbon Leakage)|空氣污染|水資源短缺|物價下跌|1
450|關於 TCFD 的「治理」要素,建議揭露內容為何?|董事會對氣候相關風險與機會的監督情形|總經理的個人學歷|員工的平均加班時數|公司的產品全球市佔率|1
451|下列何者屬於「轉型風險」中的「法律風險」?|因未能妥善揭露氣候風險而面臨投資人集體訴訟|淹水導致工廠設備損毀|低碳技術轉型失敗|消費者偏好改變導致銷量下滑|1
452|什麼是「重大性」(Materiality)在永續揭露中的核心概念?|對組織財務或利害關係人決策產生重要影響的議題|公司資產的大小|投資金額的多寡|媒體報導的頻率|1
453|關於「ISSB」準則與「GRI」準則的關係,下列敘述何者正確?|兩者通常是互補關係,可同時採用以滿足不同需求|ISSB 已經完全取代了 GRI|GRI 僅適用於非營利組織|兩者在法律上是互相排斥的|1
454|何謂「內部碳定價」的「影子價格」(Shadow Price)?|一種虛擬價格,用於內部評估專案的氣候相關成本|政府實際收取的價格|黑市買賣的價格|產品的促銷折扣價格|1
455|下列何者屬於 ESG 中的「S」(社會)面向指標?|勞工關係、人才培育與多元包容|董事會獨立董事席次|用水管理與回收率|反貪腐政策|1
456|關於「責任銀行原則」(PRB),銀行承諾其業務應與哪些目標一致?|聯合國 SDGs 與巴黎氣候協定|銀行自身的獲利最大化目標|當地政府的政治選舉目標|董事長的個人願景|1
457|什麼是「公正轉型」(Just Transition)?|在能源與經濟轉型過程中,確保社會公平與弱勢保護|轉型過程必須追求最快速度而不計社會代價|轉型成本應由受害者自行承擔|轉型後就不需要政府監理|1
458|下列哪一種債券的資金必須「專款專用」於具有綠色效益的專案?|綠色債券|永續連結債券|高收益債券|零息債券|1
459|關於 TCFD 的「策略」要素,組織應評估氣候風險對其什麼的影響?|業務、策略及財務規劃|員工的福利補貼額度|辦公大樓的物管費|廣告宣傳的曝光率|1
460|何謂「循環經濟」中的「修補與翻新」(Refurbish)?|延長產品使用期以減少資源耗損與廢棄物產生|直接將舊產品掩埋|鼓勵消費者買新的產品|減少產品的維修保固服務|1
461|關於「科學基礎減碳目標」(SBTi),其要求企業必須涵蓋哪些範疇的排放?|範疇一、二(若範疇三占比較大則亦需涵蓋)|僅範疇一|僅範疇三|不需要區分範疇|1
462|下列何者屬於 ESG 投資策略中的「負面篩選」(Negative Screening)?|將爭議性行業(如菸草、爭議性武器)排除在名單外|挑選 ESG 表現最好的前 10 名公司|只投資於太陽能相關產業|隨機投資於各種公司|1
463|什麼是「情境分析」(Scenario Analysis)?|評估組織在不同假設未來情境下的韌性與適應能力|分析過去十年的損益表|預測下個月的股價波動趨勢|評估員工的滿意度問卷|1
464|關於「自然相關財務揭露」(TNFD),其 LEAP 架構中的 L 代表?|定位(Locate)與自然的互動地點|法律(Legal)合規性|學習(Learn)永續概念|績效(Leverage)提升空間|1
465|下列哪一項是企業發布永續報告書的主要目的之一?|與利害關係人溝通其 ESG 管理表現與績效|單純為了增加公關人員的工作量|為了在網路上炫耀獲利|為了逃避職業安全檢查|1
466|什麼是「範疇三」排放?|公司價值鏈產生的所有間接排放(排除能源間接排放)|公司直接排出的煙氣|購買電力產生的排放|公司老闆上下班開車的排煙|1
467|關於「碳邊境調整機制」(CBAM)之申報,進口商需揭露什麼資訊?|進口產品生產過程中的隱含碳排放數據|進口產品的市售價格|進口產品的體積|進口產品的保固年限|1
468|下列何者屬於 ESG 中的「G」(治理)面向指標?|誠信經營、董事會職能與資訊安全管理|植樹造林的面積數量|員工平均年度步數|低碳產品的研發投入額|1
469|關於「永續連結債券」(SLB)的發行,發行人必須設定什麼?|關鍵績效指標(KPI)與永續績效目標(SPT)|最高年度獲利指標|最低生產成本指標|員工總人數成長指標|1
470|何謂「雙重重大性」中的「影響重大性」?|組織營運對環境及社會產生的實際或潛在衝擊|公司捐款的金額大小|公司逃漏稅的金額大小|公司獲利成長的倍數|1
471|關於「責任投資原則」(PRI),其第一條原則為何?|將 ESG 議題納入投資分析及決策過程|每年捐款給聯合國環境署|禁止投資所有石化公司|僱用 100 名 ESG 顧問|1
472|下列哪一項不是「社會責任債券」的合資格目標項目?|興建高污染的化學工廠|興建負擔得起的住房|創造穩定就業機會|發展基礎社會設施|1
473|關於「內部碳定價」的推動,企業通常用來作為?|內部資源配置與氣候投資決策的評估工具|向政府要錢的補助證明|解雇員工的評分標準|減少發放年終獎金的理由|1
474|什麼是「範疇二」排放的主要內容?|能源間接排放(如購買電力、蒸汽、熱力等)|公司自有鍋爐直接排放|供應鏈運輸排放|廢棄物回收排放|1
475|關於「氣候風險」中的「實體風險」,下列敘述何者正確?|由極端天氣事件或長期氣候變遷直接引起的風險|由政府調高碳費引起的風險|由新技術取代舊技術引起的風險|由消費者品牌忠誠度下降引起的風險|1
476|下列何者屬於「氣候變遷減緩」的行動策略?|提升能源效率與發展再生能源|在沿海興建更強固的堤防|投保各種極端氣候保險|研發耐高溫的農作物品種|1
477|關於「ISSB」發布之 IFRS S1,其核心目標為何?|提供一套全球一致的永續財務揭露基準|取代所有的傳統財務報表|僅規範水資源的揭露方式|要求企業必須揭露商業機密|1
478|什麼是「重大性」(Materiality)在 GRI 2021 準則中的核心?|反映組織對經濟、環境及社會產生顯著影響的議題|會讓股價在一天內跌停的議題|公司老闆最關心的政治議題|新聞媒體最喜歡報導的議題|1
479|下列何者屬於 ESG 中的「G」(治理)面向指標?|企業風險管理、董事會組成與稅務公平|辦公大樓的空中花園面積|員工每日平均站立時間|捐贈給偏鄉小學的金額|1
480|關於「內部碳定價」中的「影子價格」,下列敘述何者有誤?|它是一種實際發生的現金支出成本|它可用於評估低碳專案的潛在收益|它有助於識別氣候相關風險|它通常設定在財務決策模型中|1
481|什麼是「ESG 整合」(ESG Integration)?|在投資決策過程中,有系統地結合 ESG 因素與財務分析|將三個不同的子公司合併|只關注環境績效不看財務績效|要求所有員工都改名為永續相關名字|1
482|關於「永續發展基礎能力測驗」,通過後之證書效期為何?|目前通常為永久有效(除非主管機關另有規定)|一年|五年|十年|1
483|下列何者屬於「永續經濟活動」認定指引中的「氣候變遷調適」目的?|降低氣候變遷對組織或自然系統的負面影響|減少溫室氣體排放量|提升資源回收效率|減少水污染排放|1
484|何謂「碳權」(Carbon Credit)在市場上的交易單位?|一公噸二氧化碳當量(tCO2e)|一公斤二氧化碳|一公升二氧化碳|一立方公尺二氧化碳|1
485|關於「ISSB」準則的特色,其目的是滿足誰的需求?|投資人、貸款人及其他債權人|僅限於政府環保部門|僅限於非營利組織員工|僅限於一般消費者|1
486|什麼是「碳足跡」(Carbon Footprint)計算的範疇?|通常涵蓋產品由原料、製造、配送、使用至廢棄的全過程|僅涵蓋工廠煙囪的排放量|僅涵蓋員工開車的排放量|僅涵蓋辦公室影印紙的使用量|1
487|下列哪一項是企業推動「循環經濟」的主要商業價值?|提高資源使用效率並強化供應鏈韌性|為了增加垃圾清運費用支出|為了減少產品的使用壽命|純粹為了慈善形象不考慮獲利|1
488|關於「自然相關財務揭露」(TNFD),其架構建議揭露內容不包含?|董事長個人的私人生活環境|治理、策略、風險管理與影響評估|指標與目標|組織與大自然的互動關係|1
489|何謂「淨零路徑」(Net Zero Pathway)?|組織為達成淨零目標所規劃的短、中、長期行動方案|辦公室的緊急逃生路線|工廠的通風排煙管線佈置|網路傳輸數據的線路|1
490|關於「永續發展基礎能力測驗」,報名對象為何?|不限對象,歡迎有志於此之人士參與|僅限金融業員工|僅限大學生|僅限政府官員|1
491|下列何者屬於「永續連結貸款」(SLL)的關鍵績效指標(KPI)?|溫室氣體排放量減少比率|公司股票漲幅比率|員工出國旅遊次數|分行裝潢費用總額|1
492|關於「社會責任投資」(SRI)中的「倫理篩選」,最早源於?|宗教團體排除爭議性產業(如菸酒、博弈)|政府強制的稅收優惠|為了追求最高的金融風險|電腦科技的進步|1
493|什麼是「範疇一」中「固定源」燃燒排放?|公司自有工廠鍋爐燃燒天然氣產生的排放|公司貨車行駛產生的排放|辦公室購買電力產生的排放|員工在家上班產生的排放|1
494|關於 TCFD 的「情境分析」,企業應考量哪些情境?|包含 1.5°C、2°C 及升溫更高(如 4°C)的情境|僅需考量目前的情境|僅需考量歷史上發生過的情境|僅需考量最好的情境|1
495|下列何者屬於 ESG 中的「S」(社會)面向?|顧客隱私與數據安全管理|董事會多元性與獨立性|溫室氣體排放盤查確信|內部稽核制度的建立|1
496|關於「科學基礎減碳目標」(SBTi),企業提交目標後需經過何種程序?|由 SBTi 技術團隊進行獨立驗證與核准|由公司老闆簽字即可|由報紙媒體進行報導即可|由員工進行投票即可|1
497|什麼是「範疇二」排放中的「位置基準法」(Location-based method)?|依據所在地區電網的平均排放係數計算排放量|依據發電廠與公司的距離計算|依據辦公室的門牌號碼計算|依據公司在市場上的排名計算|1
498|關於「永續發展路徑圖」,目前優先推動「碳盤查」的產業對象包含?|鋼鐵業及水泥業|百貨業及補教業|餐飲業及旅館業|零售業及電商業|1
499|下列哪一項不是「綠色債券」發行後的必要揭露事項?|發行公司高階主管的薪酬明細|資金實際運用於綠色專案的進度|預期或實際產生的環境效益數據|資金存放與管理情形|1
500|關於「永續發展基礎能力測驗」,測驗當天應攜帶之證件為何?|國民身分證或具照片之有效證件|員工證|圖書館借書證|健身房會員卡|1
501|關於「永續發展路徑圖」,資本額 50 億元以上至 100 億元之上市櫃公司,應於何時完成母公司溫室氣體盤查?|2025 年|2023 年|2024 年|2026 年|1
502|下列何者屬於「轉型風險」中的市場風險指標?|消費者對低碳產品的偏好改變|極端降雨導致工廠淹水|政府調高碳稅稅率|低碳技術研發失敗|1
503|根據 TCFD,企業應揭露其對氣候相關風險與機會的「策略韌性」,通常透過何種工具評估?|情境分析(Scenario Analysis)|歷史成本分析|競爭對手分析|SWOT 分析|1
504|關於「科學基礎減碳目標」(SBTi),其認證要求企業必須在幾年內達成中期目標?|5 至 10 年|2 年內|20 年內|50 年內|1
505|什麼是「範疇三」中「員工通勤」的排放?|員工往返住家與辦公室所使用的交通工具產生的排放|員工出差搭乘飛機的排放|公司老闆的座車排煙|供應商送貨的排放|1
506|下列哪一項不是「責任投資原則」(PRI)建議投資人行使股東權利的方式?|僅根據股價短期波動決定買賣|在股東大會行使投票權|與被投資公司董事會溝通 ESG 議題|與其他投資人集體議合|1
507|關於「ISSB」準則,IFRS S2 要求企業揭露的氣候相關指標不包含?|董事長個人的星座與血型|溫室氣體總排放量|氣候相關風險抵禦能力|內部碳定價數據|1
508|何謂「巴塞爾協議」第二柱(Pillar 2)在氣候風險上的要求?|監理審查程序中應包含對氣候風險的管理與評估|強制要求提撥氣候罰金準備金|限制銀行只能放款給環保公司|規定分行必須種植盆栽|1
